"ISCO2","label","external","calibrated","swap","realized_usual_calibration","n_calibration","realized_refweek","se_refweek","n_refweek","realized_usual","se_usual","n_usual","realized_anchor"
33,"Business and administration associate professionals",0.683673469387755,0.122963610261532,TRUE,0.122963610261532,16021,0.222752621012715,0.00468774399245301,22415,0.130427631578947,0.00342055542079029,24320,0.144836727316544
34,"Legal, social and cultural associate professionals",0.576923076923077,0.576923076923077,FALSE,0.142247510668563,4218,0.205839416058394,0.0090082181976165,5480,0.146451612903226,0.00746475772755478,6200,0.15539858728557
35,"ICT technicians",0.75,0.75,FALSE,0.244292237442922,1752,0.380168606985147,0.0167643368473389,2491,0.250377643504532,0.0144089572823746,2648,0.262276785714286
41,"General and keyboard clerks",1,0.0981373366694468,TRUE,0.0981373366694468,3597,0.144036318613289,0.00860793001123352,4846,0.103422619047619,0.00699549259923825,5376,0.114109050028106
42,"Customer services clerks",0.291666666666667,0.291666666666667,FALSE,0.0957178841309824,2779,0.159225806451613,0.0097741647430561,3875,0.0981750981750982,0.00692238747941749,4329,0.10258064516129
43,"Numerical and material recording clerks",0.526315789473684,0.526315789473684,FALSE,0.0707246376811594,3450,0.151778496362167,0.00879192207388132,4948,0.0759276879162702,0.00545536112261014,5255,0.0858725761772853
44,"Other clerical support workers",0.625,0.0831099195710456,TRUE,0.0831099195710456,746,0.161105815061964,0.0179794267286957,1049,0.0925266903914591,0.0137600251247831,1124,0.111111111111111
51,"Personal service workers",0.270833333333333,0.270833333333333,FALSE,0.146201785413509,5937,0.14421106557377,0.00698123641676364,7808,0.139563652721547,0.00671425850472051,8892,0.126226734348562
52,"Sales workers",0.2,0.2,FALSE,0.0497715404699739,6128,0.0626148897058824,0.00436997617332773,8704,0.0499155761924863,0.00381884327147545,9476,0.0501792114695341
53,"Personal care workers",0.3,0.3,FALSE,0.0459788922523112,12223,0.0448680692781588,0.00274848216554721,17206,0.0458091723774381,0.00277085611125055,18970,0.045501704461242
54,"Protective services workers",0.1,0.1,FALSE,0.00791936645068395,2778,0.0105820105820106,0.00243493419379874,3969,0.00793465577596266,0.00148709062638305,4285,0.0079628400796284
61,"Market-oriented skilled agricultural workers",0.181818181818182,0.181818181818182,FALSE,0.0269978401727862,926,0.0505660377358491,0.00900084911323163,1325,0.0305180979418027,0.00609098732708767,1409,0.0372670807453416
62,"Market-oriented skilled forestry, fishery and hunting workers",0.178571428571429,0.178571428571429,FALSE,0,19,0.0454545454545455,0.0440648349622704,22,0,NA,23,NA
63,"Subsistence farmers, fishers, hunters and gatherers",0,0,FALSE,0.375,8,0.375,0.375,8,0.375,0.375,8,NA
71,"Building and related trades workers",0.027027027027027,0.027027027027027,FALSE,0.00815360336664913,3802,0.0155529953917051,0.00219170137230767,5208,0.00887728459530026,0.00172409990775227,5745,0.0102933607822954
72,"Metal, machinery and related trades workers",0,0,FALSE,0.00769769069279216,2858,0.0133098945253641,0.00279755734930547,3982,0.00775193798449612,0.00178295381671289,4257,0.00786275911365261
73,"Handicraft and printing workers",0.137931034482759,0.137931034482759,FALSE,0.118,500,0.129129129129129,0.0239149336792723,666,0.100806451612903,0.0207649452903771,744,0.0655737704918033
74,"Electrical and electronic trades workers",0,0,FALSE,0.0218696397941681,2332,0.0417640186915888,0.00524523480502829,3424,0.0239405613648872,0.00379414947975766,3634,0.0276497695852535
75,"Food, wood, garment and other craft workers",0.0731707317073171,0.0731707317073171,FALSE,0.122268163024217,1693,0.108940972222222,0.0123697923882881,2304,0.1078705553336,0.0120770675681921,2503,0.0777777777777778
81,"Stationary plant and machine operators",0,0,FALSE,0.018968583283936,1687,0.0174491067719152,0.00481072323262329,2407,0.017309205350118,0.00455475439761272,2542,0.0140350877192982
82,"Assemblers",0,0,FALSE,0.0122100122100122,819,0.0145797598627787,0.00591498963579482,1166,0.0127388535031847,0.00498234559919682,1256,0.0137299771167048
83,"Drivers and mobile plant operators",0.236842105263158,0.236842105263158,FALSE,0.00573958674975402,6098,0.00589622641509434,0.00126182849688972,8480,0.00683346191998237,0.00104643453798518,9073,0.00907563025210084
91,"Cleaners and helpers",0,0,FALSE,0.00356294536817102,2526,0.00345423143350604,0.00185983477112624,3474,0.00535045478865704,0.00188289243135898,3738,0.00907590759075908
92,"Agricultural, forestry and fishery labourers",0,0,FALSE,0.00694444444444444,144,0.015625,0.00899052046019143,192,0.0137614678899083,0.00775054701453545,218,NA
93,"Labourers in mining, construction, manufacturing and transport",0.12,0.12,FALSE,0.00601421541826134,1829,0.00827378713802181,0.00246293452985432,2659,0.00529848110208407,0.00144459658617493,2831,0.00399201596806387
94,"Food preparation assistants",0,0,FALSE,0.0125260960334029,479,0.0107858243451464,0.00594842648364201,649,0.0125173852573018,0.00531398051413868,719,0.0125
95,"Street and related sales and service workers",0,0,FALSE,0,7,0.0434782608695652,0.0469005521510483,23,0,NA,25,NA
96,"Refuse workers and other elementary workers",0.25,0.25,FALSE,0.0224358974358974,312,0.0243407707910751,0.00800598469374799,493,0.0204460966542751,0.00709579335399932,538,0.0176991150442478
